Numéro;Date;TAG;Titre;Accroche;Contenu
1;22/01/2025;Salarié;Revalorisation des retraites salariées en 2025;A compter du 1er janvier 2025, la retraite du Régime Général est revalorisée de 2,2%.;Suite à l’adoption de la motion de censure le mercredi 4 décembre, le projet de loi de financement de la Sécurité sociale (PLFSS) de 2025 qui prévoyait un décalage de la revalorisation de 6 mois, au 1er juillet 2025 sur la base de 0,8% a été rejeté. La revalorisation s’élèvera à 2,2% et sera effective à compter du 1er janvier 2025. Ces revalorisations s’appliquent sur votre retraite de janvier, qui sera versée le 7 février. Si vous êtes affilié à la caisse régionale d’Alsace-Moselle, celle-ci vous sera versée le 3 février, avec un rappel pour la pension du mois de janvier. 
2;22/01/2025;Libéral;Revalorisation des retraites libérales en 2025;La retraite de  base des régimes libéraux a augmenté de 2,2% à compter du 1er janvier 2025. La valeur du point est de 0,6540 € (0,6399 en 2024);test contenu
